Series Name,Series Year,Match Name,Match Venue & Date,Team 1 Score,Team 2 Score,Ball No,Over,Bowler Name,Batter Name,Ball Type,Shot Type,Speed of Ball,Runs Scored
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,15.14Priya,15,15.14Priya Mishra,Kapp,Unknown,boundary,N/A,4
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,14.6•Kanwar,14,14.6•Kanwar,Jonassen,Unknown,dot,N/A,0
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,14.54Kanwar,14,14.54Kanwar,Jonassen,Unknown,boundary,N/A,4
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,14.41Kanwar,14,14.41Kanwar,Kapp,Unknown,single,N/A,1
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,14.3•Kanwar,14,14.3•Kanwar,Kapp,Unknown,dot,N/A,0
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,14.22Kanwar,14,14.22Kanwar,Kapp,Unknown,double,N/A,2
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,14.1•Kanwar,14,14.1•Kanwar,Kapp,Unknown,dot,N/A,0
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,13.61Gautam,13,13.61Gautam,Kapp,Unknown,single,N/A,1
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,13.5•Gautam,13,13.5•Gautam,Kapp,Unknown,dot,N/A,0
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,13.41Gautam,13,13.41Gautam,Jonassen,Unknown,single,N/A,1
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,13.32Gautam,13,13.32Gautam,Jonassen,Unknown,double,N/A,2
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,13.21Gautam,13,13.21Gautam,Kapp,Unknown,single,N/A,1
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,13.1WGautam,13,13.1WGautam,Sutherland,Unknown,other,N/A,unknown
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,12.6•Kanwar,12,12.6•Kanwar,Jonassen,Unknown,dot,N/A,0
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,12.51Kanwar,12,12.51Kanwar,Sutherland,Unknown,single,N/A,1
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,12.4WKanwar,12,12.4WKanwar,Rodrigues,Unknown,other,N/A,unknown
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,12.3•Kanwar,12,12.3•Kanwar,Rodrigues,Unknown,dot,N/A,0
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,12.21Kanwar,12,12.21Kanwar,Jonassen,Unknown,single,N/A,1
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,12.14Kanwar,12,12.14Kanwar,Jonassen,Unknown,boundary,N/A,4
IPL 2021,1249214,"GG Women vs DC Women, 10th Match at Bengaluru, WPL, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,11.6•Gardner,11,11.6•Gardner,Rodrigues,Unknown,dot,N/A,0
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,11.41Schofield,11,11.41Schofield,Gurkeerat,Unknown,single,N/A,1
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,11.36Schofield,11,11.36Schofield,Gurkeerat,Unknown,boundary,N/A,6
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,11.24Schofield,11,11.24Schofield,Gurkeerat,Unknown,boundary,N/A,4
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,11.14Schofield,11,11.14Schofield,Gurkeerat,Unknown,boundary,N/A,4
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,9.61Schofield,9,9.61Schofield,Gurkeerat,Unknown,single,N/A,1
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,9.51Schofield,9,9.51Schofield,Yuvraj,Unknown,single,N/A,1
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,9.4•Schofield,9,9.4•Schofield,Yuvraj,Unknown,dot,N/A,0
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,9.3•Schofield,9,9.3•Schofield,Yuvraj,Unknown,dot,N/A,0
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,9.24Schofield,9,9.24Schofield,Yuvraj,Unknown,boundary,N/A,4
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,9.11Schofield,9,9.11Schofield,Gurkeerat,Unknown,single,N/A,1
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,8.6•Bresnan,8,8.6•Bresnan,Yuvraj,Unknown,dot,N/A,0
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,8.52Bresnan,8,8.52Bresnan,Yuvraj,Unknown,double,N/A,2
IPL 2021,1249214,"Eng Masters vs Ind Masters, 3rd Match at Navi Mumbai, IML, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,8.41Bresnan,8,8.41Bresnan,Gurkeerat,Unknown,single,N/A,1
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,17.61Young,17,17.61Young,Masakadza,Unknown,single,N/A,1
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,17.51Young,17,17.51Young,Musekiwa,Unknown,single,N/A,1
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,17.42Young,17,17.42Young,Musekiwa,Unknown,double,N/A,2
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,17.31Young,17,17.31Young,Masakadza,Unknown,single,N/A,1
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,17.24Young,17,17.24Young,Masakadza,Unknown,boundary,N/A,4
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,17.1WYoung,17,17.1WYoung,Munyonga,Unknown,other,N/A,unknown
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,16.6•Hand,16,16.6•Hand,Musekiwa,Unknown,dot,N/A,0
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,16.5•Hand,16,16.5•Hand,Musekiwa,Unknown,dot,N/A,0
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,16.4•Hand,16,16.4•Hand,Musekiwa,Unknown,dot,N/A,0
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,16.41wHand,16,16.41wHand,Musekiwa,Unknown,other,N/A,unknown
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,16.41nbHand,16,16.41nbHand,Musekiwa,Unknown,other,N/A,unknown
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,16.32Hand,16,16.32Hand,Musekiwa,Unknown,double,N/A,2
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,16.24Hand,16,16.24Hand,Musekiwa,Unknown,boundary,N/A,4
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,16.1•Hand,16,16.1•Hand,Musekiwa,Unknown,dot,N/A,0
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,15.62Little,15,15.62Little,Munyonga,Unknown,double,N/A,2
IPL 2021,1249214,"Zimbabwe vs Ireland, 3rd T20I at Harare, Zimbabwe vs Ireland, Feb 25 2025 - Ball by Ball Commentary",Unknown Venue & Date,N/A,N/A,15.52Little,15,15.52Little,Munyonga,Unknown,double,N/A,2
